tweets,target
"wow
 Ok then congress manifesto say about doubling india gdp in 10 years
 Where as India gdp growth is 5% means our gdp will double in 6-7 years if bjp rules
 And inheritance tax and freebies that will totally destroy indian economy.",1
"Kindly, do check the manifesto of 2014 and 2019 of the BJP. There has been a detailed video over the %completion of the works and promises made by them. Then, it would be better to comment over ""not fulfilled"" opinion.",1
I would prefer a smart dictator than a dump democracy,1
Ã¢â‚¬â€¹Ã‚Â @Lol06987Ã‚Â If you had brain u would know it was modi who said it first,1
Ã¢â‚¬â€¹Ã‚Â @kaizoku8771Ã‚Â if these ppl could read they would be very upset,1
"Ã¢â‚¬â€¹Ã‚Â @mananghildiyal2675Ã‚Â what a joke smart dictator, go check whether the man behind the PM is doing real work, Modi is just a face, and Modi spent 10 years just to degrade the opposition and bring dictator ship. what idea is thought",0
Ã‚Â @mananghildiyal2675Ã‚Â absolutely correct,1
Ã‚Â @Uff1234Ã‚Â he definitely wasn't a smart dictator,1
China is also dictatorship but there good in growth and develop and muslim free nation,1
"Only dictator can make people in right path.
 
 Father is a dictator at home
 
 So people don't think about dictator ship",1
"you are right, BJP has better plans for future, they just need more time.",1
It's because they have good number of seats...once they have less seats then their decision will also be confused...so it's just number..if congress come in full majority...then they will implement all this,1
"bro bjp focusing on infra, new startup, make in india, lakh pati didi type facilities to create awareness into womens, trying to deal with foreign companies..",1
Ã¢â‚¬â€¹Ã‚Â @sksh292Ã‚Â lol. You didn't understand the video,1
"Ã‚Â @onaction9677Ã‚Â u r talking about one opportunity. do you really think he has not got any opportunity to be in a position of govt when upa was in power?? The reality is he is not a serious and responsible party leader. He is always confused.
 
 Nobody cares about how innocent or how right/good his intentions might be because it is politics. What really matters is your ideology. You can not be confused when u r in a position of power. You can not be innocent in politics",1
Ã‚Â @SunilBohara369Ã‚Â Agreed. Like I said one opportunity should be given. Every student after completing college he is given opportunity in company to prove himself but as I strongly feel Mamta banerjee will be PM of India if India alliance wins,1
"This is not even a logical comparison..
 (Rahul Gandhi's work 5 years ago and BJP's work now)
 
 5 years r enough for a man to change his ideology & work pattern whereas BJPÃ¢â‚¬â„¢s ideology can be seen live today.",1
Congress also making false promises and Gandhi family must leave the politics,0
Maybe Rahul Gandhi is participating from south because elections in South India are more fair compared to other states.,1
"Worst vs bad
 I voted for bad = BJP",0
i will vote for bjp because voting to bjp is far more better then kid party. vote for bjp 2024. only 400 paar,1
Very happy to see that big honest youtubers like u are speaking abt these things,1
"I seriously condemn your last lines where you said that congress hasn't spoken up about unemployment and inflation whereas if you would see his daily press conference, he has constantly asked about both. Your accusation is baseless I guess",0
Appeal to all youth and all those who are supporting congress please open your eyes,1
I think you need to pull your pants up dude. We want the democracy back with all the Indian constitutional institutions back on the lane of its own free and fair rule of law.,1
"I wanted to vote for INDIA alliance but the manifesto of CPM regarding removing atom bomb and other weapons sends me chill. Also I hate the idea of â€‹â€‹giving 50 percent reservation for women, caste census, their anti UCC, CAA stand.
 
 BJP is not doing good its corrupt, creating a bad communal situation, income inequality.
 
 Just choosing a less painful poison to die",0
"Change is a must. The present government is very autocratic, grown beyond their boots, very high headed, corrupt, bereft of developmental schemes & most importantly having divisive ideology. Let's give the opposition a chance & if they don't deliver then we can definitely change them. But don't question the intention of the opposition manifesto without giving them a chance. That's unfair.",1
"Brother, manifesto of both of you....Congress will do the same to Punjab as it does to poor India.",0
habibi come to Andhra Pradesh then you will understand how fair it is.,1
Ã¢â‚¬â€¹Ã‚Â @bhartipanwar66Ã‚Â he's definitely not losing lol.,1
"Politics of South is more clean, people are not mad over religious fanatics",1
"Ã‚Â @asutoshghanto3419Ã‚Â probably its more fair and clean than other states, here in Tripura the main city get to have a fair voting but in the rural areas they don't have fair voting.",1
"Ã‚Â @manoharchandrashekar2085Ã‚Â The main problem is the opposite doesn't have a strong candidate against Modi, and the manifesto that both the parties released is just a stunt to earn votes, what do you think, who will win the 2024 elections.",1
Ã‚Â @devil2406Ã‚Â I.N.D.I.A will win,1
"BJP is strong in the North or it is the party of those states in the South, because Rahul is leading the elections from there.",1
Ã¢â‚¬â€¹Ã‚Â @devil2406Ã‚Â I think BJP will win because if Congress wins and if they take some immature or stupid decision especially when their are many wars taking place in world it will be disastrous for country globally,1
Ã‚Â @user-ts3qp4dg3kÃ‚Â yes people are mad over communism and islamism,0
Ã¢â‚¬â€¹@user-ts3qp4dg3k Yeah for sure. Just ask Hyderabad old city voters.,1
Ã‚Â @namanmishra1977Ã‚Â glad someone addressed tmc should be banned nd ppl should vote for BJP or communist,1
Ã‚Â @devil2406Ã‚Â Same I don't know why and I think because these recent dictatorship controversy they start falling insecure and by that start taking many unnecessary leaders while they already have theirs best leaders,1
Except BJP is the worst.,0
Ã¢â‚¬â€¹Ã‚Â @nananou1687Ã‚Â cry more,1
So true. We voters do not have a good choice in the world's largest democracy. But the choice is between bad and worse. So of course bad is better.,0
"Yes bro, Because new AIIMS, IITs, IIMs and New Universities Opened by BJP. Start up boom brought by bjp, foreign policies are better in BJP era, Highways and roads construction better done by BJP, current Indian Digitalisation standard brought by BJP, Due to UPI India became a study use case that how it became Digital payment hub?. That too during BJP. There are common negative points in both BJP and CONGRESS but BJP is far ahead if compared in terms of economic growth and setting Indian standards in world. So, for this election too my vote goes to BJP",1
"Ã‚Â @thenationalist8845Ã‚Â My name is the name of my country's great freedom fighters. Shaheed-e-Azam. The most fearless men who fought communal, casteist, imperialist forces. Tell me, whose name are you chanting? Of Kayar and dacoits?",1
"Ã‚Â @thenationalist8845Ã‚Â Who said that the youth of Sudhir Tihadi are unskilled or unemployable? I know a lot many capable skilled youth. Scientists, capable managers, teachers, businessmen who have skills and hardworking nature yet unemployed because the system is apathetic.
 And who stopped a majority government from making education system efficient? Education suffering severely under current ruling party. No funds for research and education. Why blaming youth when jumlendra himself talk of asking them to use phones instead of studying hard",1
Ã‚Â @thenationalist8845Ã‚Â read him also . Only shallow respect will not help,0
Ã‚Â @gandhibhagat285Ã‚Â voting for congress and then? What will congress do? They wouldn't do anything for india. Rahul Gandhi can be anything but good pm. He still acts like idiot doesn't know what to say and what to not. If you really think he can be good for India's future then u should think again.,1
"Ã‚Â @gandhibhagat285Ã‚Â mohak isn't attacking rahul he is doing right thing by pointing out rahul' stupidity. If u have seen mohak's videos u would know that mohak had talked same about modi too. He isn't favoring anyone. And ur saying that if we point out wrong things about congress that means we are helping bjp we are BJP supports?, so we shouldn't point out this things about congress So congress party who isn't capable, should be winning in India and then they hard India has done all this years to build as country and has earned name in world, all of that in waste? Bcuz rahul gandhi is last person in world who should be pm of India.",0
overpopulation is the main cause of unemployment,1
"Exactly man, however bjp's poison is more like a slow burn",1
BJP is great cry about it,1
"You at least ask CPM leaders not to do it. You show me someone talking to Modi without a script in the last 10 years pls.
 
 Still, it was a Congress PM who started Indian journey towards nukes. So, even if CPM wants to, they can't because Cong will still hold dominant position in an INDIAAlliance government.",0
Ã‚Â @mananghildiyal2675Ã‚Â yes both BJP and Congress are not good but Congress will divide the country at a level which BJP can't do,0
Ã‚Â @gajendermalhotra9635Ã‚Â Read my comment am voting for BJP lol,1
"Ã‚Â @SigmaScorpionÃ‚Â We are here at the time of voting, we are not able to do this, we are doing it with enthusiasm.",0
vote for bjp as they are less corrupt and better than INDIA I can convince you,0
Ã‚Â @polypOFjejunumÃ‚Â hahaha,1
BJP is far better than INDI alliance,1
Ã¢â‚¬â€¹Ã‚Â @redefined4657Ã‚Â khangress has changed so much since then,1
Ã¢â‚¬â€¹Ã‚Â @sohammanna7929Ã‚Â live in dreams,1
BJP is at least developing the nation that's what I all care about,0
"Ã‚Â @thenationalist8845Ã‚Â umm, ok",1
"I'm in the same shoes as you. I don't really care and don't wanna waste my vote with NOTA, Would rather choose a good leader than an incompetent wannabe Prodigal Son.",1
Every economy during its initial growth period is going to have income inequality. After a long period of growth income inequalities start to decline. It's basic principle in economics called Kuznets curve. It's extremely foolish to be obsessed about inequality when you don't have enough money in the first place. Think a little before speaking.,0
Every economy during the period of initial growth is going to have inequality. After a long period of growth income inequalities start to decline. It's a popular principle in economics indicated by Kuznets curve. It's extremely st*pid to be obsessed about inequality when you don't have enough money in the first place.,1
Typical khalistani logic,0
People like you speak about democracy rahul ghandhi should also be criticized same goes for bjp and modi.what you said is just the real dictatorship as no one should question rahul ghandhi than that is how dictatorship is no one can criticize dictator.,1
Hey political opinion aside Rahul Gandhi was kinda hot in 2007 especially in the photos mohak used,1
"One of the most prominent reasons I (18 year old) would not cast my vote to congress is their reservation system. Being a middle-class general category student, I faced several issues during my college admissions which is a big problem for many more students like me. If they would come to power, even surviving would become an issue for people in general category (and they tell about to the so-called equality). Congress according to me has a clear policy of winning votes on the basis of dividing people on the basis of their castes which they have been doing for decades since independence. 17:27",1
Congress will not rule but will keep ruining the country's economy and infrastructure. So my vote will go to bjp after watching your video and thanks bro Ã¢Å“Å’,1
Congress has become a joke and Rahul is its biggest clown.... He is not intelligent enough and is completely incompetent to be even a politician let alone the PM of a country like India..... Its high time Congress restructure and get rid of the Gandhi family.... The Gandhi family definitely needs to retire from politics forever because they are of absolutely no use to our country now.,0
So basically there are at least 20 crore poor households and one beneficiary per household leads to an annual bill of 10 lakh crore. That's like 30% of India's total annual budget. This will lead to disastrous economic outcomes and stagnation in the job growth and will promote joblessness.,0
"India really needs a worthy opposition but at this state of India, Congress is not an option.",1
"Our leader Shri Arvind Kejriwal went to jail, he went to jail, he did a lot of work in Delhi, anyways brought a common man I can't do much, I feel he was great leader, but now he went to jail for 7-8 years.",1
AS A BJP SUPPORTER I CAN CONFIRM THAT INDIA NEEDS A STRONG OPPOSITION PARTY,1
BJP motivates people to vote for them for nation building but Congress forces people to vote for BJP as they do many self goals that make people scared how the country will be ruled under Congress especially their manifesto which may look sugar coated but looking deep one can identify their true intentions.,1
"BJP is the only option I see in this election, hope opposition will introduce new leaders for 2029 election.",1
"Vote for our culture our wealth
 Vote for safe india",1
"But I know whom to vote for, after watching your information and other videos, according to that, I have to make lotus bloom in the mud.",0
"Rahul Gandhi is unwritten manifesto of BJP.
 
 We don't need caste reservation.
 We need caste abolition.
 We need scholarship reservation for the poor.",0
Ã‚Â @DarkMasterEdits-MashupsÃ‚Â agree... But bro it's too much to get freedom to speak....mohak ka channel jitne din chal raha dekh rhe aa analysis,1
Ã¢â‚¬â€¹Ã¢â‚¬â€¹Ã‚Â @DarkMasterEdits-MashupsÃ‚Â how can you sure about that ??? Gotta give them a chance.....,1
Ã‚Â @wwjiminÃ‚Â Is there no freedom of speech? get serious dude if there is no democracy now then when will it happen?,0
"freedom of speech
 Brother, you are banned till now, you are gayi hothi till now.
 Kaniya Lal would have been in jail
 Umar Khalid would have been in jail",0
"Bro....If Congress comes, they will make the situation worse!!",0
"Ã¢â‚¬â€¹Ã‚Â @User80840Ã‚Â bahut kuch matlab
 Only scams have been done
 Everything else is due to the constitution",0
"Ã‚Â @wwjiminÃ‚Â Freedom of speech, brother, this is what happens when pure time reels and Instagram consume content from the university utha ke le jaate hai xd",1
Cpmedians always run with great confidence.,1
"Ã‚Â @Baloch-hz5wfÃ‚Â 'beti bachao beti patao"", "" jab mai helicopter se by road aa raha tha"", ""Biodegrabadable"", ""a2+b2+2Ab+ 902"", "" make a hole in the plate and release the gas from the drain "", "" yhn se aloo daalo whn se sona nikalo "" , "" Gendu generation "" , "" investigation a girl child "" , - ..........u know who's the real comedian and illiterate",1
It's because he doesn't have to loose anything,0
"Ã‚Â @AyushYadav-fv2ouÃ‚Â I have used this internet a little bitâ€¦.he also replied to thatâ€¦he said that I am not the committee that will decide from where to hold the election, so I will get the price of Amethi. m lad lunga",0
Ã‚Â @AryanSingh-um4ptÃ‚Â at least the full form of MRP has been found out and caste senus has not been done.,1
@AryanSingh-um4ptÃ‚ Bruh...you are soo naive if you really think that any committe in Congress will tell gandhis what to do or not to do.,0
Ã‚Â @AyushYadav-fv2ouÃ‚Â 1. U are again off the topic.....ur argument was he didn't answer but he did......U r off the topic 2.U might be correct but considering current congress and bjp......collective decision would be best for for congress and gandhis very well understand that's why kharge plays a big role in deciding party's fate.,1
"Use the vote first and show good work and results in your states... Then you will vote.., the performance is so poor that after coming to power once, it cannot be retained for the second time... There must be some reason behind this.",1
"PM man is a joke, what is this children's game, what is the opportunity given lol",1
"Brother, I am not rich, why should I go abroad?
 let us at least have private institutes pls",0
You're right he should get one chance to prove himself,1
"Ã‚Â @mahindra3368Ã‚Â Do you know the state in which he is ruling his policies? In Kerala, he is getting a pass from the center for the bail package, let's see if economics can handle the state.",0
Today we have to choose India alliance because feku and his gang not did single work as per their jumla speeches,0
Ã‚Â @nrs_08Ã‚Â feku only postponed his targets bcoz he knows nothing can be happened in India since 10 years only monopoly of certain businessman increased their income gini coefficient increasing day by day and feku only giving jumla again again I also vote for bjp in2014 but now I realized change is necessary for India for upliftmentâ€¦Ã¯Â¸à¸€,1
"Ã‚Â @aakarshshetty7560Ã‚Â adani already taken coal mine,gujrat Mundra port with no competition so this extreme capatilism is very bad for India bcoz half population of India is suffering for foods ....adani did some case tax evasion and increased his shares now he is running economy such a hypocrisy",0
Ã¢â‚¬â€¹Ã‚Â @samsanglikar6704Ã‚Â Having friendship with Ambani and Adani is far better then with Yasin Malik,1
Ã¢â‚¬â€¹Ã‚Â @Dungeonmaster222Ã‚Â They have built many AIIMS and IITs if you check,1
Ã‚Â @Dungeonmaster222Ã‚Â Check the no. Of AIIMS and IIITs and other institutions,0
"Even after 80 years India is still not able to vote for education
 They are still stuck on caste census
 
 Baba Saheb planned that in 1965 after development
 Reservation will be eradicated
 
 Seems like it backfired",0
Yes true. I really don't mind voting for BJP even after dictatorship concerns coz I have full faith in SC Ã¯Â¸,1
"Yes Kaushal Bhai, do not want to see public opposition. In their mind, Beth Gaya's Rahul Gandhi does not have strong leadership but the problem is that if BJP comes again, they may change the Constitution and communalism will happen even more. It will change, media will move from 150 rank to 180 rank, Modi says in a rally that ""at the time of making the Constitution, it was 80 to 90% Sanatani"".
 All this has been done, in which direction the PM is taking the country.
 But it is understood that construction work has been done during the tenure of BJP.
 But brother, they are not getting jobs till the point where 20 to 25% of IIT Bombay people are not getting even IITians are very intelligent to think how difficult it will be for us people.
 Every day a farmer is committing suicide.
 Even today Brahmins and upper caste Dalitons are considered human beings.
 That's why brother, all of you please vote for educated MPs.",0
Ã¢â‚¬â€¹Ã‚Â @samikshagoyal7707Ã‚Â SC has its limitations and what about high courts?,1
"Ã‚Â @Iampa1chavanÃ‚Â Nobody, I repeat Nobody can ever change the basic structure of the Constitution. Plus, UPA government itself many times made changes in constitution. Remember they unilaterally added SOCIALISM to constitution? So I have full faith that SC will save us. And honestly, I want a progressive India and not socialist, backward India that Congress wants. Forgetting all the communal tensions, I am just thinking about economy which is surely faring better in NDA. Alsooooo, Foreign policy. We are no more a coward country. So I don't care, thus time won't waste my vote on INC. Either BJP or NOTA",1
Ã‚Â @abusufiyan2192Ã‚Â Talking about that IIT news that was misleading IIT Bombay twitter account clarified that with the data. Employment is shit I agree but that's not an issue for me my problems were different. I understand everyone has their own issue. Vote for anyone you want,1
"Ã‚Â @samikshagoyal7707Ã‚Â Economy also flourished in the reign of Hitler, Stalin and Mao but something was taken in return something very precious for healthy democracy
 Don't regret your decision after this
 History needs to be repeated like 1977",1
I think We should give a chance to India alliance..BJP has done us enough good in 10 years,1
This video was needed! Proud of you Mohak!,1
Private sector reservations will take us back at least 50 years,0
"The rise and thrive of BJP is not because BJP is so strong, its also because the opposition is weak and irresponsible.",1
Fantastic job bro. Love for your work from Bangladesh,1
Heard somewhere that if Congress came into power with coalition then there will be multiple PMs to avoid infighting. Is it true?,1
Now this is important to vote for democracy,1
Congress manifesto is scary,0
"Mr. Mohak, Exellent...you covered both the sides...Regarding caste census kindly see the AIPC re launch video of Rahul Gandhi, where he mentioned that Corporates have the very important role in our economy i am not against them, but whether we are giving opportunity to everyone...In this point I can connect with some private organization where priority of giving jobs to so called upper caste only because of Caste and reputed family. If you see Syrian Christian Family institutions will give preference for upper class community but not giving opportunity to Backwards...Its a fact...Regarding other things in the manifesto you should have a discussion with a manifesto committee member",1
"i was sick off congress before 2014 but this time it's different we should teach bjp a lesson they think they are above the law like rajiv Gandhi and Make a video about RSS who worships Hitler and bjp 2045 manifesto main topics Hindu muslim, Hindu rastra, garv se tight karna, violence, raids, jailing and centralized big scale corruption under the nose and of course godi media",0
"Rahul is not a PM candidate. Vote wisely and vote for the future of developing India. Jai hind, Jai Bharat Mata ki",1
A very very important video.... A strong opposition is an absolute need of the hour.... One with minimum public opinion to be able to check the ruling party.... But alas in the name of opposition we have rahul who has been more of a meme than anything credible,1
"Ã‚Â @noobspidey006Ã‚Â then you don't need to vote, its waste",0
Ã¢â‚¬â€¹Ã‚Â @firexinfinity6641Ã‚Â I am voting BJP for stable Bharat!! We cannot bring a fractured Coalition of Corrupt politicians!!,0
"No thanks, no democracy for me",0
"See few videos, anti-BJP thi.",0
"Bro this is anti congress video not anti bjp
 At least first watch video before commenting",0
Ã‚Â @PAYAL_YADAV..6Ã‚Â i read it! this is insane!! This prophet is called God?? hud hai!!,0
"Bro but at least see who is going to be PM if they win they can't even decide who gonna be PM because of their internal issue in alliance how can they control or govern such a big nation of 140 cr.
 I am sure they gonna be a menace for country if they win and will put extra pressure for the next government",1
"Instead of teaching BJP a lesson, you will learn a new lesson of opposition comes in power",1
Modi has brought out a corrupt leader from the past and has brought out a sadhu leader from the future.,0
Their promise of give 1 lakh each and every to poor women and diploma holder can range from 1 lakh crore to 100 lakh crore. This is a rough estimate but it is obviously very huge amount. Even the GDP of the country is just about 45-50 lakh crore. They want to drown the national in debt,1
Even with all the issues with RaGa I still believe he is a better choice for a PM than Modi.,1
"Good thing about Cong Manifesto: Specifications & seemingly legal guaranteed.
 Bad thing: Short termed. Free money. Towards future Sri Lanka.
 
 Good Thing about BJP manifesto: Long term planning, important issues like Slum development, Environment & Sustainability, Infrastructure etc.
 Bad thing: Just superficial like. No specializations.
 Vote wisely, vote for class-census not caste-census.
 Jai Hind",1
I really liked what Mohak has said... Sometimes you have to move away from a person to make stronger leadership in a team. I hope Congress thinks about it.,1
"After adding more RAM, you told. Now it's working great. Many thanks",1
There is no option in our area other than BJP to give vote...and rather all the parties are small and so I voted for Congress because here in our area this time a good educated and well socially engaging woman is seated...I voted by looking my constituency not looking at Rahul or Modi,1
Why is caste survey so important?,1
I am congress supporter but really congress itself doesn't have any clear strategy to fight BJL,1
"People want Modi because of:
 - Removal of article 370 from Kashmir.
 - Taking India towards Digitalization (5-6 days only to get passports and driving license)
 - Fulfilled his commitment by building the most impossible Ram Temple.
 - Making strong relationships with world's big powers.
 - Eliminating terrorists hiding in other countries.",1
Thanks for such explanation.,1
"I am really proud that I follow a youtuber where my ideology aligns to question every party, I am criticized from Leading Party that I am an opposition supporter but I believe to question everyone.",1
"Congress guarantee is stupid i agree
 
 But india gdp is 50 lakh crore in which currency?
 In rupees its about 300 lakh crore
 In dollars about 4 lakh crore",0
Ã‚Â @Manish_a12bÃ‚Â don't pay too much attention on the figures. Mine is just an estimate. Check the official data,1
Atleast he is not promising to give Rs.15 lakh to every bank account like the other guy who instead extorted companies of crores through electoral bonds.,0
If every house gets one lakh then there will be high inflation. 1 lakh will lose its value.,1
Ã‚Â @overtomanu123Ã‚Â the entire treasury will become empty by giving all the freebies,0
"People are just highlighting what BJP did not do in 10 years, but are not highlighting what good things BJP did in 10 years. Neither they are highlighting what 10 year Modi government did better than 60 year Congress...",1
Rahul Gandhi should permanently step down as politician. Congress is forcefully thrusting down our throats a failed Ã¢â‚¬Å“PappuÃ¢â‚¬ whom they have been launching every election. Main reason people vote for BJP as Rahul Gandhi is not pm material.,0
"Ã¢â‚¬â€¹Ã‚Â @overtomanu123Ã‚Â Only 6-7 crore families are below poverty line.....if they give money to per family it makes only 6-7lakh crore......there will be no inflation because of this logo .....Brother, make poor people live also...Why are you paying attention...
 
 
 
 ,",0
"5 crore families are poor according to Niti Ayog, Congress will give 8500 rupees monthly to poor families only",0
Ã‚Â @debiagunte9466Ã‚Â how you identify who is poor and rich . And Niti Ayog is Estimating not saying these much people are Poor. And if you giving money then inflation will be high and Tax will rise and who will give Tax Middle class And Normal people ...,1
"Ã‚Â @VikramKumar-gf4yuÃ‚Â we will identify poor families by using census data 2021 ,and same scheme implements in Brazil called bolsa familia it has positive impact poverty greatly reduced in Brazil , literacy rate in Brazil , and some people started micro and small business in brazil due to freedom to think about future plans and inflation increase due to increase in money supply by example printing more currency if money supply is high decrease in interest rate will further increase inflation,",1
Ã‚Â @debiagunte9466Ã‚Â Ã‚Â @debiagunte9466Ã‚Â In Brazilian and Indian Population is Not same and they giving money from own Asset it will good . And the Micro and Macro implement is good but the party is Hypocrisy they will give all these One favorable religion and illegal Immigrant they believe that vote is important not country. I heard News that our Indian Army Sir Sam Manekshaw pension stop 15+year???,1
lmao RAGA is PAppu just like you,1
Even defeated as mp and still bro i believe his good you know bro mashallah broÃ¢â‚¬â€¹Ã‚Â @parvadhami980Ã‚,1
I highly doubt your choice bro,1
Same instead he will be ta best pm because he had faced many criticism but still people love him because he loves people of India genuinely.,1
yes he insults india in foreign,0
No he isn't .people like you are the reason why India would be in the hands of wrong people. I'm not modi fan but people need to understand that the name India has today in outside world it's all bcuz of his strategy,0
Exactly 90 percent people are put here... Modi is not liked but Modi is better than Rahul Gandhi... That's why BJP is winning...,1
"Ã‚Â @jongzz1123Ã‚Â bhai to avoid criticism and to ban PM, what to give bhai amazing knowledge wale hai ye hath k supporter pm k liye buddhi chahiye instant decision power chahiye critical thinking chahiye powerful concentration and constant awareness of your country aur ye sir aate ko It is sold at Rs 40/Litre, brother, where do you get so much filth, logic?",1
"I totally agree with you. The world will make fun of him, coz everyone has become influenced by the picture Godi media and BJP made him look like. he might have been not that good before, I believe he is promising now. I wish people would give him a chance to prove himself. he does things differently from others but I feel he genuinely cares for people.",1
Cong: Free money but only lakhs to the lowest level. BJP: Free money in lakhs of cores to rich.,1
Ã¢â‚¬â€¹Ã‚Â @app.lebyteÃ‚Â and none are helped. 2nd you know. And first is a way to keep the poor dependent and poor forever instead of actual holistic planning on poverty eradication.,0
"to list his achievements is such a cunning move to act the victim... There ARE genuine problems with their government, if the opposition is too terrible then we must make do with BJP by calling out their faults and failures. Its for their own best",1
"Ã‚Â @Prince_MohammadÃ‚Â And the people who want to bring the opposition to power only for their own purposes, the journalists who talk only in selective periods, who say the opposition indirectly in their manifesto, you are general category, you go to India, you are like this. Shame on the people of the community, shame on such journalists, shame on such opposition.",1
"Bro I show your two videos about popularity of Modi and Congress manifesto...such a neutral (good)explanation.. in that you already cleared the things why people support bjp or Modi because they have given information to public regards all the public welfare. and how they are take the advantage..we all know people want clear communication regarding service or government achievement..in same way congress failed to do. other points also most of the people are below or parallel poverty line in India and government know his basic need same they implemented on ground link nal jal yojna ,ladli betiya,sukaniya yojna Jan dhan yojna , pension in direct account,home , washroom,gas stove..this all comes under people basis need...so of course people will know the government @modi ..it's called Use of resources and clear vision leadership",1
Rahul Gandhi is not an actor like Modi. We need to decide whether we need an actor or a real man who wants to help our nation.,1
"Bro your level of neutrality is commendable, these kind of videos should be consumed by the citizens instead of watching a specific side tilted video.",1
"I wanted to Congress but thier manifesto is horrifying.
 Thus Modi ji is far better.
 My vote for modiji",0
How much money you get from bjp,1
Many people don't know what a reservation is. It is about the representation not the jobs.,1
Because Rahul Gandhi ji is a good team player that's why he looks simple...,1
"Bhai your analysis is always the best and I agree with your point even doing 100% reservation will not be of any benefit people are not actually fighting for job they are fighting for reservation and due to this reason these political parties are electing everyone... To become a developed nation, it is necessary to educate the people, if they do not get a government job then they can earn good income... People looking for government jobs are doing well in private sector.. And you are educated and you have guts to go to your reservation. what will be needed",1
Rahul Gandhi is the prime example of a key problem of India. Parents and Peers pressuring people into a profession they are not interested in.,0
"Priyanka Gandhi has said that people do not do politics for power, and Rahul is such a good person, I am 100% sure that even if Congress elections are won this time, Rahul Gandhi will not become PM. Your analysis is also good, but maximum analysis is old. Does it matter if it does not matter to whom? The simple answer is- ""Anyone"".. If Congress doesn't win on expectations then its people will also be thrown away.",1
To all Anti Modi: Keep good stock of boronol ready...you all will need it on 1st June,1
"After this Congress also told the truth, all the parties are in trouble now.",0
"There is no medicine for religion.
 Don't appease peaceful minority.",1
That is why you should study SST of class 10 carefully...... Majoritaraniasm (kuch yaad aaya),0
I prefer a proper man over a failed minister,0
nice comedy,1
Indirectly you saying Rahul Gandhi is a real man...joke of d century.,1
"Ã‚Â @sahiltrivedi6391Ã‚Â "" SPOTTED"" NOT ""spotted"" at least improve your English skill bruhh",0
He is a liberal lol,1
This is real secularism gandhi ji,1
nah blood in today's situation general needs representation,1
Ã‚Â @fx_1513Ã‚Â ok but in that case also we need cast census because open category also includes many casts Then we can identify is we achieved some social justice.,1
"Ã‚Â @thenationalist8845Ã‚Â but also we need also reservation in politics in today's situation seats are reserved but those candidates are puppets of political parties so they not working for backward classes and not for their constituencies.
 But If we want to say we don't need reservation in politics then we political parties should get tickets to backward class candidates on open seats and also try to win them then reservation in politics can be removed.",1
Ã‚Â @thenationalist8845Ã‚Â definitely reservation will not solve class problem for that government should get another actions but reservation is important for at least minimum representation of backward classes.,1
Ã¢â‚¬â€¹Ã‚Â @dhirajmokal1206Ã‚Â A different voting system might solve this. Do a quick search on MPP - mixed party proportional.,1
"Ã‚Â @dhirajmokal1206Ã‚Â ""Backward"" classes are not backward u know
 Economic reservation is better",1
Ã‚Â @fx_1513Ã‚Â general has representation everywhere,1
"Ã‚Â @thenationalist8845Ã‚Â reservation is not ""garibi hatao abhiyan"" it is all about representation and for the economic backward class their are many government welfare schemes and there are not perfect parameters for count economic conditions.",1
Ã‚Â @dhirajmokal1206Ã‚Â yes no we definitely need proper reservation in politics and administration. But what I don't personally agree with is giving away seats in education sector. College seats matter a lot and should be given to those who need it and can make good use out of it.,1
"Representation by force without giving importance to merit??? This is why due to people like You who try to repackage reservation in a new name to make it look cool, India is not growing!! Unless we give pure justice to Merit (without caste bias) India's prosperity will remain stagnant!!",1
"Ã‚Â @adwaitvedant3297Ã‚Â wo ""meritdhari"" reservation is not the cool name representation. Reservation what actually is please see the debates in the constitution assembly while drafting the constitution. Reservation is actually make artificial bubble in it the casts are compete with the fellow casts this is actually reservation but if you get the argument of merit this means you decided that 50% of reserved class are not merit based but they compete with each other and for india bad situation people like you are responsible because they vote the communal government not for development, social justice, education.
 Representation by force is important if we take this responsibility to the beneficial class of society this will never happen.",0
Ã‚Â @adwaitvedant3297Ã‚Â firstly read what's reservation why that's needed . The cast system is not built by me. If you want to say reserved categories are not merit based then you are definitely a beneficial class of society. They are based on merits but they compete with each other.,1
Have watched the full video,1
"Ã¢â‚¬â€¹Ã‚Â @shailendrakushwaha373Ã‚Â yes we are also terrorists, that is why people are dying due to log bomb blast.",0
"Yes brother Amit Shah has said it right, and in this election campaign BJP is on top.",1
"Ã¢â‚¬â€¹Ã‚Â @AkashKumar-ct4hbÃ‚
 Infrastructural development of 10 years is more than 60 years, it's enough to tell who is the jumlebaaz.",1
"Ã‚Â @nrs_08Ã‚Â he is rajni kant of politics
 I will only vote for good candidate",1
What is up with these fake accounts with women,0
Brother Congress has said that nothing will be left. You see our Punjab. Why did Man Singh give so many freebies? RBI also issued warning issue.,1
"And as far as inflation is concerned, currently inflation is 4-5%. RBI says 4 to 6% is healthy so inflation is in control right now. In Congress from 2004 to 2014 inflation was 7% and higher",1
"Ã¢â‚¬â€¹Ã‚Â @architboraste209Ã‚Â You are a useless leader in Punjab, you will not be able to do much at the international level.",1
